Application/Permit Number,Category,Permit Type,Action Type
6579342,SINGLE FAMILY / DUPLEX,Construction,NEW
6611622,INSTITUTIONAL,Construction,NEW
6546089,COMMERCIAL,Construction,ADD/ALT
6569894,MULTIFAMILY,Construction,NEW
6604991,MULTIFAMILY,Construction,NEW
6546046,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6533422,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6543018,COMMERCIAL,Construction,ADD/ALT
6541558,,Site Development,TREE/VEGETATION MAINT/RESTORE
6545879,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545886,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545865,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545785,MULTIFAMILY,Construction,ADD/ALT
6528543,MULTIFAMILY,Construction,ADD/ALT
6545820,INSTITUTIONAL,Construction,ADD/ALT
6545808,COMMERCIAL,Construction,ADD/ALT
6601973,MULTIFAMILY,Construction,NEW
6545790,COMMERCIAL,Construction,ADD/ALT
6545789,COMMERCIAL,Construction,ADD/ALT
6544811,,Site Development,TREE/VEGETATION MAINT/RESTORE
6484028,MULTIFAMILY,Construction,ADD/ALT
6541850,COMMERCIAL,Construction,ADD/ALT
6545753,COMMERCIAL,Construction,ADD/ALT
6605501,MULTIFAMILY,Construction,ADD/ALT
6529676,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6531608,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6538933,COMMERCIAL,Construction,ADD/ALT
6541191,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6506275,MULTIFAMILY,Demolition,DEMOLITION
6468786,SINGLE FAMILY / DUPLEX,Construction,NEW
6541273,COMMERCIAL,Demolition,DEMOLITION
6536959,COMMERCIAL,Construction,ADD/ALT
6544023,COMMERCIAL,Construction,ADD/ALT
6545696,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545697,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618483,INSTITUTIONAL,Construction,NEW
6541406,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545643,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6509700,SINGLE FAMILY / DUPLEX,Construction,NEW
6471387,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545642,SINGLE FAMILY / DUPLEX,Construction,NEW
6530108,COMMERCIAL,Construction,ADD/ALT
6534219,COMMERCIAL,Construction,ADD/ALT
6529167,COMMERCIAL,Construction,ADD/ALT
6542977,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544547,,Site Development,TREE/VEGETATION MAINT/RESTORE
6537322,COMMERCIAL,Construction,TEMP
6545637,COMMERCIAL,Construction,ALTER
6544197,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6541316,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6492368,COMMERCIAL,Construction,NEW
6490382,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545588,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6530690,COMMERCIAL,Construction,ADD/ALT
6501657,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6544814,INSTITUTIONAL,Construction,ADD/ALT
6545589,COMMERCIAL,Construction,ALTER
6593548,COMMERCIAL,Construction,ALTER
6252903,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545520,COMMERCIAL,Construction,ADD/ALT
6545508,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6540553,COMMERCIAL,Construction,ADD/ALT
6545513,COMMERCIAL,Construction,ADD/ALT
6545302,INSTITUTIONAL,Construction,ADD/ALT
6537046,COMMERCIAL,Construction,ADD/ALT
6527881,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6583956,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6531756,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6532625,COMMERCIAL,Construction,ADD/ALT
6544265,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6603646,MULTIFAMILY,Construction,NEW
6537915,SINGLE FAMILY / DUPLEX,Construction,NEW
6544982,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6564896,COMMERCIAL,Construction,ADD/ALT
6541011,COMMERCIAL,Construction,NO CONSTRUCTION
6608018,COMMERCIAL,Construction,ADD/ALT
6544489,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6539419,COMMERCIAL,Construction,NO CONSTRUCTION
6518323,COMMERCIAL,Construction,ADD/ALT
6528898,COMMERCIAL,Construction,ADD/ALT
6514504,SINGLE FAMILY / DUPLEX,Construction,NEW
6525038,SINGLE FAMILY / DUPLEX,Construction,NEW
6545341,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6514499,SINGLE FAMILY / DUPLEX,Construction,NEW
6560409,COMMERCIAL,Construction,ADD/ALT
6543617,,Site Development,TREE/VEGETATION MAINT/RESTORE
6215368,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6485784,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6545279,,Site Development,TREE/VEGETATION MAINT/RESTORE
6583966,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6542689,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545253,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544355,COMMERCIAL,Construction,ADD/ALT
6545217,MULTIFAMILY,Construction,NEW
6524860,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6537836,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545202,COMMERCIAL,Construction,ALTER
6544640,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6532500,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545175,COMMERCIAL,Construction,ALTER
6511451,INSTITUTIONAL,Construction,ADD/ALT
6542738,COMMERCIAL,Construction,ADD/ALT
6533078,COMMERCIAL,Construction,ADD/ALT
6518505,SINGLE FAMILY / DUPLEX,Construction,NEW
6545111,COMMERCIAL,Construction,ALTER
6495657,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6542237,,Site Development,TREE/VEGETATION MAINT/RESTORE
6544763,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6545033,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6537181,COMMERCIAL,Construction,ADD/ALT
6545030,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545022,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545017,COMMERCIAL,Construction,ADD/ALT
6545010,COMMERCIAL,Construction,ADD/ALT
6541033,SINGLE FAMILY / DUPLEX,Demolition,RELOCATION
6605407,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6590565,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6545000,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544990,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544984,COMMERCIAL,Construction,ALTER
6544981,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6539046,INSTITUTIONAL,Construction,ADD/ALT
6536560,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6534921,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544806,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6534897,SINGLE FAMILY / DUPLEX,Construction,NEW
6543887,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6543963,MULTIFAMILY,Construction,NO CONSTRUCTION
6585031,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6501762,MULTIFAMILY,Construction,NEW
6544823,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6542123,COMMERCIAL,Construction,ADD/ALT
6544916,COMMERCIAL,Construction,ADD/ALT
6526082,SINGLE FAMILY / DUPLEX,Construction,NEW
6527930,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6519461,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6523569,INDUSTRIAL,Construction,ADD/ALT
6514484,SINGLE FAMILY / DUPLEX,Construction,NEW
6532292,MULTIFAMILY,Construction,ADD/ALT
6532281,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544907,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6514475,SINGLE FAMILY / DUPLEX,Construction,NEW
6537961,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6540799,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6365104,,Site Development,CURB CUT
6588432,COMMERCIAL,Construction,ADD/ALT
6520879,INDUSTRIAL,Construction,ADD/ALT
6542291,,Site Development,TREE/VEGETATION MAINT/RESTORE
6514464,SINGLE FAMILY / DUPLEX,Construction,NEW
6541559,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6542825,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544788,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544766,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6542929,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544701,COMMERCIAL,Construction,ADD/ALT
6544350,COMMERCIAL,Construction,ADD/ALT
6535313,INDUSTRIAL,Site Development,GRADING
6535494,COMMERCIAL,Demolition,DEMOLITION
6544459,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6537117,COMMERCIAL,Construction,ADD/ALT
6535054,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6585015,COMMERCIAL,Construction,ADD/ALT
6451211,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6585172,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6524369,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6543992,MULTIFAMILY,Construction,ADD/ALT
6240611,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6604547,INDUSTRIAL,Construction,ADD/ALT
6591826,COMMERCIAL,Construction,ADD/ALT
6531482,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6522154,COMMERCIAL,Construction,ADD/ALT
6535574,COMMERCIAL,Construction,ADD/ALT
6534288,SINGLE FAMILY / DUPLEX,Construction,NEW
6575817,MULTIFAMILY,Construction,ADD/ALT
6448272,INDUSTRIAL,Construction,ADD/ALT
6506033,MULTIFAMILY,Construction,ADD/ALT
6527143,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6528770,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6517811,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6525026,SINGLE FAMILY / DUPLEX,Construction,NEW
6513128,SINGLE FAMILY / DUPLEX,Construction,NEW
6599189,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6514562,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575964,COMMERCIAL,Construction,ADD/ALT
6530359,COMMERCIAL,Construction,ADD/ALT
6540343,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544099,COMMERCIAL,Construction,ADD/ALT
6544548,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544491,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544520,COMMERCIAL,Construction,ADD/ALT
6542167,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544480,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6620503,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544421,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6542064,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544418,COMMERCIAL,Construction,ADD/ALT
6618692,MULTIFAMILY,Demolition,DEMOLITION
6523102,COMMERCIAL,Construction,NO CONSTRUCTION
6543336,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6382481,,Construction,
6544335,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544334,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6539585,COMMERCIAL,Construction,ADD/ALT
6544325,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6543602,COMMERCIAL,Construction,ADD/ALT
6516600,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6544251,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6530353,COMMERCIAL,Construction,ADD/ALT
6544229,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6537590,COMMERCIAL,Construction,ADD/ALT
6544214,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6550988,SINGLE FAMILY / DUPLEX,Construction,NEW
6543794,COMMERCIAL,Construction,ADD/ALT
6544177,COMMERCIAL,Construction,ADD/ALT
6544161,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6537922,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544160,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6544137,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6541433,,Site Development,TREE/VEGETATION MAINT/RESTORE
6544096,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
